Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_1961373,coffee,2.0,2.0,4.0,credit card,takeaway,2023-09-08
TXN_4977031,cake,4.0,3.0,12.0,cash,in-store,2023-05-16
TXN_4271903,cookie,4.0,1.0,4.0,credit card,in-store,2023-07-19
TXN_3160411,coffee,2.0,2.0,4.0,digital wallet,in-store,2023-06-11
TXN_2548360,salad,5.0,5.0,25.0,cash,takeaway,2023-11-07
TXN_7619095,sandwich,2.0,4.0,8.0,cash,in-store,2023-05-03
TXN_2847255,salad,3.0,5.0,15.0,credit card,in-store,2023-11-15
TXN_6769710,juice,2.0,3.0,6.0,cash,in-store,2023-02-24
TXN_3709394,juice,4.0,3.0,12.0,cash,takeaway,2023-01-15
TXN_3522028,smoothie,3.0,4.0,12.0,cash,in-store,2023-04-04
TXN_3567645,smoothie,4.0,4.0,16.0,credit card,takeaway,2023-03-30
TXN_5132361,sandwich,3.0,4.0,12.0,digital wallet,takeaway,2023-12-01
TXN_9400181,sandwich,5.0,4.0,20.0,cash,in-store,2023-06-03
TXN_5183041,cookie,5.0,1.0,5.0,credit card,in-store,2023-04-20
TXN_5695074,juice,4.0,3.0,12.0,credit card,takeaway,2023-04-10
TXN_8853997,smoothie,2.0,4.0,8.0,digital wallet,takeaway,2023-10-09
TXN_1080432,salad,2.0,5.0,10.0,credit card,in-store,2023-04-29
TXN_8078640,juice,4.0,3.0,12.0,digital wallet,in-store,2023-11-03
TXN_8614868,smoothie,5.0,4.0,20.0,digital wallet,takeaway,2023-12-05
TXN_5522862,cookie,3.0,1.0,3.0,credit card,takeaway,2023-03-19
TXN_2080895,cake,3.0,3.0,9.0,digital wallet,in-store,2023-04-19
TXN_6421134,sandwich,4.0,4.0,16.0,cash,takeaway,2023-11-03
TXN_3068204,cookie,1.0,1.0,1.0,credit card,takeaway,2023-10-03
TXN_2621580,tea,2.0,1.5,3.0,cash,in-store,2023-03-22
TXN_4726376,cake,2.0,3.0,6.0,credit card,in-store,2023-01-31
TXN_6420335,coffee,1.0,2.0,2.0,cash,takeaway,2023-07-16
TXN_3829165,juice,4.0,3.0,12.0,cash,in-store,2023-06-15
TXN_3748616,coffee,2.0,2.0,4.0,credit card,in-store,2023-12-09
TXN_5266394,cake,3.0,3.0,9.0,cash,in-store,2023-10-28
TXN_8976658,tea,2.0,1.5,3.0,credit card,in-store,2023-08-16
TXN_6289610,juice,3.0,3.0,9.0,cash,takeaway,2023-08-07
TXN_5220895,salad,5.0,5.0,25.0,cash,in-store,2023-06-10
TXN_3085509,coffee,4.0,2.0,8.0,digital wallet,in-store,2023-04-15
